	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
straßenwalz	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Neben Kenntnissen im Umgang mit den Materialien Stein, Beton und Gesteinskörnung, Herstellung von Versatzmörteln und Umgang mit elementaren Handwerkzeugen des Baugewerbes kommen zusätzlich heute auch zahlreiche Spezialmaschinen wie Tandemvibrationswalzen, Presslufthammer, Verlegmaschinen, Stoßwerkzeug, Vibrationsplatte, Schwammputzmaschine, Betonschneidemaschinen, Straßenwalze und Bagger zum Einsatz.
teleskoplader	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Lenken/Fahren von Teleskopladern und Gabelstaplern (Diesel)
tiefbaufahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Ein Werkstatt in den Bereichen LKW - u. Nutzfahrzeuge sucht sofort einen erfahrenen und zuverlässigen Kraftfahrzeugmechatroniker/in (m/w) für die Reparatur von Kraftfahrzeuge, Nutzfahrzeuge sowie Tiefbaufahrzeuge u. Tiefbaumaschinen.
traktoren/schlepper	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung im Umgang mit landwirtschaftlichen Maschinen und Traktoren/Schleppern wird vorausgesetzt.
trecker	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Sie haben die Berechtigung LKW, Unimog und Trecker zu fahren?  Führen von landwirtschaftlichen Fahrzeugen (Trecker fahren)
turmdrehkräne	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Voraussetzung ist der LKW Führerschein über 7,5 Tonnen und Erfahrungen mit der Bedienung von Hydraulikbaggern und Turmdrehkränen.
winterdienstgerät	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Zweiradmechaniker/innen der Fachrichtung Motorradtechnik warten und reparieren motorisierte Zwei-, Mehrrad- sowie Spezialfahrzeuge (auch Gartengeräte und Winterdienstgeräte) des Zweiradbereiches, bauen sie um oder rüsten sie mit Zubehör und Zusatzeinrichtungen aus.
kommissionier-gerät	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Das umfangreiche Produktprogramm des Unternehmens umfasst Handhubwagen, elektrische Gabelniederhubwagen und Geh-Gabelhochhubwagen, Dreirad- und Vierrad-Gegengewicht-Stapler mit Fahrersitz und Fahrerstand, Schubstapler, Schmalgang-Stapler, Kommissionier-Geräte und Gabelstapler.  Das umfangreiche Produktprogramm des Unternehmens umfasst Handhubwagen, elektrische Gabelniederhubwagen und Geh-Gabelhochhubwagen, Dreirad- und Vierrad-Gegengewicht-Stapler mit Fahrersitz und Fahrerstand, Schubstapler, Schmalgang-Stapler, Kommissionier-Geräte und Gabelstapler.  Das umfangreiche Produktprogramm des Unternehmens umfasst Handhubwagen, elektrische Gabelniederhubwagen und Geh-Gabelhochhubwagen, Dreirad- und Vierrad-Gegengewicht-Stapler mit Fahrersitz und Fahrerstand, Schubstapler, Schmalgang-Stapler, Kommissionier-Geräte und Gabelstapler.  Das umfangreiche Produktprogramm des Unternehmens umfasst Handhubwagen, elektrische Gabelniederhubwagen und Geh-Gabelhochhubwagen, Dreirad- und Vierrad-Gegengewicht-Stapler mit Fahrersitz und Fahrerstand, Schubstapler, Schmalgang-Stapler, Kommissionier-Geräte und Gabelstapler.  Das umfangreiche Produktprogramm des Unternehmens umfasst Handhubwagen, elektrische Gabelniederhubwagen und Geh-Gabelhochhubwagen, Dreirad- und Vierrad-Gegengewicht-Stapler mit Fahrersitz und Fahrerstand, Schubstapler, Schmalgang-Stapler, Kommissionier-Geräte und Gabelstapler.  Das umfangreiche Produktprogramm des Unternehmens umfasst Handhubwagen, elektrische Gabelniederhubwagen und Geh-Gabelhochhubwagen, Dreirad- und Vierrad-Gegengewicht-Stapler mit Fahrersitz und Fahrerstand, Schubstapler, Schmalgang-Stapler, Kommissionier-Geräte und Gabelstapler.
,hebezeugen	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Erfahrungen in der Bauteil-,Baugruppenmontage sowie im Umgang mit Montagewerkzeugen,Vorrichtungen,Hebezeugen und Spezialwerkzeugen
4-zinken-stapler	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Erfahrung im Umgang mit einem 4-Zinken-Stapler
ameise	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								NA
ameise/hubwagen	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Be- und Entladen von LKW's ( Ameise/Hubwagen)
arbeits-/hebebühne	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Europaweit tätiges Unternehmen aus dem Bereich Vermietung/Verkauf von Arbeits-/Hebebühnen und Baumaschinen sucht einen Techniker/in oder Kaufmann/frau (abgeschlossene Berufsausbildung in einem technischen oder kaufmännischen Beruf wird vorausgesetzt) für den Verkauf oder die Vermietung von Arbeits-/Hebebühnen im Außendienst (Raum Dortmund/Unna).
arbeitsbühne	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Haben Kenntnisse im Umgang mit Arbeitsbühnen
backenstapler	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Je nach Kenntnissen werden Sie auf den unterschiedlichen Staplertypen eingesetzt ( Hochregalstapler, Frontstapler oder Backenstapler )
bahn/bus	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn	oder Bus, oder evtl. in eine Kategorie zusammenfassen?							* Eigener PKW (Bahn/Bus fährt nicht zu jeder Zeit)
elektrozug	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								Innerbetrieblicher Transport mittels Hubwagen, Ameise und Elektrozüge
fernverkehrszug	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								Selbstständiges Durchführen von Reparaturen, Inspektionen und Umbauten an Schienenfahrzeugen wie Hochgeschwindigkeitszüge, Nah- und Fernverkehrszüge, Lokomotiven und Reisezugwagen
flachwaggon	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								für den Bereich Schienenfahrzeuge, Reparturarbeiten an Schienenfahrzeugen ( Flachwaggons / Kesselwaggons) gute MAG Schweisser mit gültigen
glieder-/tandemzug	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								Wir suchen zur Unterstützung unseres Teams zum nächstmöglichen Zeitpunkt mehrere Kraftfahrer/innen mit Erfahrungen im Bereich Glieder-/Tandemzug, Solofahrzeug oder auch Sattelzug.
gliederzug	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								NA
güterwagen	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								Instandhaltungsarbeiten am mechanischen Teil von Schienenfahrzeugen (Güterwagen, Drehgestellen und Wagenkästen) entsprechend VPI-Modul 01 bis 06  Instandhaltungsarbeiten an Bremsanlagen von Schienenfahrzeugen (Güterwagen) nach VPI-Modul 07  Instandhaltungsarbeiten am mechanischen Teil von Schienenfahrzeugen (Güterwagen, Drehgestellen und Wagenkästen) entsprechend VPI-Modul 01 bis 06  Instandhaltungsarbeiten an Bremsanlagen von Schienenfahrzeugen (Güterwagen) nach VPI-Modul 07
hochgeschwindigkeitszug	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								Hochgeschwindigkeitszüge und Lokomotiven
lok	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								NA
lokomotive	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								Bau von Güter- und Spezialgüterwagen, Drehgestelle, Baugruppen, Großkomponenten aus Aluminium und Rohbauten für Lokomotiven, Personenwagen und Straßenbahnen
reisezugwagen	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								Selbstständiges Durchführen von Reparaturen, Inspektionen und Umbauten an Schienenfahrzeugen wie Hochgeschwindigkeitszüge, Nah- und Fernverkehrszüge, Lokomotiven und Reisezugwagen
schienenfahrzeug	(7F) Eisenbahn, Bahn	(7F)	Eisenbahn, Bahn								NA
solofahrzeug	(7C) LKW	(7C)	LKW								Wir suchen zur Unterstützung unseres Teams zum nächstmöglichen Zeitpunkt mehrere Kraftfahrer/innen mit Erfahrungen im Bereich Glieder-/Tandemzug, Solofahrzeug oder auch Sattelzug.    Gefahren wird mit einem 18 Tonner (Solofahrzeug).
zuggeraät	(8A) therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente	(8A)	therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente								Bedienung von Hebe/Hubarbeitsbühnen, Kränen, Winden, Hub- und Zuggeraäten, Flurförderfahrzeugen  Bedienung von Hebe/Hubarbeitsbühnen, Kränen, Winden, Hub- und Zuggeraäten, Flurförderfahrzeugen
zuggerät	(8A) therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente	(8A)	therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente	Zusatzantrieb für Rollstühle							Selbständiges Prüfen von Anschlagmitteln, Lastaufnahmemitteln, Winden, Hub- und Zuggeräten, persönlicher Schutzausrüstung, Leitern, Hubtischen und von Tor- und Krananlagen gemäß geltenden Normen und Vorschriften
zupfinstrument	(8A) therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente	(8A)	therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente								praktische und theoretische Kenntnisse im Bereich Zupfinstrumente
beatmungsgerät	(8A) therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente	(8A)	therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente								) Kenntnisse im Umgang mit dem Beatmungsgerät wären ideal, aber Einarbeitung und Einweisung sind gewährleistet.
beatmungsmaschine	(8A) therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente	(8A)	therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente								Sehr gute Kenntnisse im Umgang mit Beatmungsmaschinen,
medizin	(8A) therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente	(8A)	therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente								Durch unsere lange Erfahrung im Bereich Medizin und Pflege kennen wir die Bedürfnisse unserer Mitarbeiter genau und bieten Ihnen:
pflegegerät	(8A) therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente	(8A)	therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente								Erfahrung mit Baugeräten und Pflegegeräten
pianos	(8A) therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente	(8A)	therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrumente								Klavier- und Cembalobauer/innen der Fachrichtung Klavierbau stellen Pianos und Flügel her.
ris/pacs	(3C) computergesteuerte Analysesysteme, Diagnosegeräte mit Daten-/Bildspeicherung und Ergebnisausdruck	(3C)	computergesteuerte Analysesysteme, Diagnosegeräte mit Daten-/Bildspeicherung und Ergebnisausdruck								* Kenntnissen in RIS/PACS, Computertomographie, Kernspintomographie sowie Nuklearmedizin
ultraschallgerat	(3C) computergesteuerte Analysesysteme, Diagnosegeräte mit Daten-/Bildspeicherung und Ergebnisausdruck	(3C)	computergesteuerte Analysesysteme, Diagnosegeräte mit Daten-/Bildspeicherung und Ergebnisausdruck								Als ein führender Anbieter von bildgebenden Systemen für die medizinische Diagnostik liegt unser Produktfokus auf MRT-, CT- und Ultraschallgeräten.
luftrecht	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								Kenntnisse im Luftrecht EASA 21G, EASA 145, ISO9100 sind von Vorteil
markenrecht	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								Erfahrungen im Markenrecht
mietrecht	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								an Rechtsfragen und Rechtskunde (Kenntnisse im Kaufvertragsrecht und Mietrecht, BGB, MABV ...)  Sehr gute Kenntnisse im Mietrecht
mietvertragswesen	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								Gute Kenntnisse im Mietvertragswesen (Gewerbe- und Privatimmobilien)
norm	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								NA
normenwerk	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								NA
normenwesen	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								Sie verfügen über Grundkenntnisse im Bereich Gebäudesystemtechnik (KNX), Kenntnisse im Umgang mit CAD und besitzen gute Kenntnisse im Normenwesen.
patentrecht	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								Neben der Bewältigung des Tagesgeschäftes bearbeiten Sie in unserem Team Fälle im Bereich gewerblicher Rechtsschutz (Patentrecht und Markenrecht).
pfandbg	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								vertiefte Kenntnisse im Vertragsrecht, Grundbuchrecht, in einschlägigen Regelwerken (KWG, PfandBG, ZVG) sowie in der Bilanzanalyse und modernen Risiko-Messmethoden  vertiefte Kenntnisse im Vertragsrecht, Grundbuchrecht und in einschlägigen Regelwerken (KWG, PfandBG)
planungsrecht	(8C) Gesetzestexte, Nachschlagewerk u.ä.	(8C)	Gesetzestexte, Nachschlagewerk u.ä.								Kenntnisse im öffentlichen Baurecht einschließlich der länderspezifischen Besonderheiten sowie Kenntnisse und Erfahrungen im Planungsrecht sind hierzu erforderlich.
softwarequalitätsstandard	(8I) Standards, Modelle, Konzepte (v.a. IT bezogen)	(8I)	Standards, Modelle, Konzepte (v.a. IT bezogen)								Kenntnisse in Softwarequalitätsstandards und Software-Architektur (Autosar)
werksnorm	(8I) Standards, Modelle, Konzepte (v.a. IT bezogen)	(8I)	Standards, Modelle, Konzepte (v.a. IT bezogen)								Umsetzung der gültigen VDE-Vorschriften und Werksnormen
zeichnungsnorm	(8I) Standards, Modelle, Konzepte (v.a. IT bezogen)	(8I)	Standards, Modelle, Konzepte (v.a. IT bezogen)								Kenntnisse der Zeichnungsnormen, Symbole und Messtechniken
zeichnungsvorschrift	(8I) Standards, Modelle, Konzepte (v.a. IT bezogen)	(8I)	Standards, Modelle, Konzepte (v.a. IT bezogen)								Bauzeichner/-innen erwerben außerdem vielseitige Kenntnisse über die Anwendung von verbindlichen Normen und Zeichnungsvorschriften.
											NA
											NA
											NA
											NA
											NA
											NA
											NA
											NA
											NA
											NA
											NA
											NA
											NA
											NA
											NA
											NA
----------------------------------------											NA
											NA
alpha plus				ERP/Buchhaltung SW							Alpha Plus und Lexware    Alpha Plus und Lexware
ams				ERP/Buchhaltung SW							Gute PC-Kenntnisse und die Fähigkeit, sich schnell in unser Warenwirtschaftssystem (AMS) einzuarbeiten
apis				--> API Programmschnittstelle							Gute Kenntnisse in MS-Office, SAP und APIS    Idealerweise Kenntnisse in APIS o.a.
aris				(8K)							* Kenntnisse in der Prozessmodellierung mit ARIS und UML
as3.				Standard zum Datentransfer							Wir suchen ab sofort einen Flash Application Developer mit guten Kenntnissen in AS3.
as-i				Standard für die Feldbus-Kommunikation, der zum Anschluss von Aktoren und Sensoren							· Erfahrung mit Bussystemen (Profibus, Profinet, AS-i und Ethernet TCP/IP)
asic/fpga-design				Mikrocontroller-Design							NA
bausoftwareprodukt											Sie verfügen über grundlegende Kenntnisse in Bausoftwareprodukten, idealerweise in Autodesk Revit Architecture und AutoCAD Architecture.
berechnungsprogramm											Ihr Aufgabegebiet umfasst die Planung und Projektierung technischer Anlagen im Bereich der Elektrotechnik und Gebäudeautomation inklusive technischer Berechnungen mittels fachspezifischen Berechnungsprogrammen und CAD-Systemen (AutoCAD / ELA PLAN).
berechnungssoftware											Neben einer mehrjährigen Berufserfahrung sollten sie Kenntnisse in der Berechnungssoftware RSTAB mitbringen.
bi				SAP NetWeaver Business Intelligence (SAP BI							Wir erwarten Basiskenntnisse in Printserver, Active Directory, Netzwerken, Palm und BI Anwendungen    Zur Stärkung der PR-Division wir ab sofort einen erfahrenen PR-Berater (m/w) gesucht für Betreuung der Kunden im Bereich Business Software (BI, HR, ERP, CRM), inklusive der entsprechenden Textarbeiten und Redaktionskontakten.
biztalk				Enterprise Service Bus	Server						Dies umfasst die Entwicklung von Clientanwendungen (Web-, Windows-, Smart-Client und idealerweise mobile Geräte), die Umsetzung von Business- und Datenzugriff-Logik (Objekt-, Komponenten- und Service-Orientierung), sowie Know-how in Microsoft Servertechnologien (z. B. im Bereich SharePoint, BizTalk oder SQL-Server)  Kenntnisse im Microsoft-Umfeld, Dynamics, SharePoint, BizTalk,...
blasformwerkzeug				Maschine							Die Konstruktion von Blasformwerkzeugen, Spritzgusswerkzeugen und Stanzwerkzeugen
bmecat				standardisiertes austauschformat für katalogdaten							Kenntnisse in BMEcat und AJAX sind hilfreich.
bpmn				Geschäftsprozessmodell							NA
bv				?							Dazu und für unser weiteres Wachstum suchen wir eine langfristige Verstärkung in der Softwareentwicklung und suchen daher einen erfahrenen Softwareentwickler, der in Visual Basic (BV 6, VB.NET) fit ist.
bw				SAP NetWeaver Business Intelligence (SAP BI							Spezialkenntnisse in den Bereichen SAP Netweaver, BW und Portal runden Ihr Profil im Idealfall ab.    Anwenderkenntnisse in SAP/R3, FI/CO und BW
bw/bi				SAP NetWeaver Business Intelligence (SAP BI							NA
can-bus				Vernetzung von Steuergeräten in Automobilen			AM?				Erfahrungen im Bereich CAN-Bus sowie gängigen Diagnosetools vorteilhaft.
canbussystemen				Vernetzung von Steuergeräten in Automobilen			AM?				Kenntnisse in Canbussystemen und Zubehörelektrik zwingend erforderlich
can-transportprotokoll				can-transportprotokoll							NA
ccms				SAP monotoring							Fachwissen im SAP Monitoring mit CCMS und SAP Solution Manager  Fachwissen im SAP Monitoring mit CCMS und SAP Solution Manager
circe				Luftfahrt??							Gute Kenntnisse in MS-Office, CATIA V5, Circe und VPM
cluster				Anfang der 1990er auf dem Amiga-Computer eingesetzte Programmiersprache							Cluster und Windows Core Server    Erfahrungen im Bereich der Cluster Tool Controller (CTC)
cockpitsystem				kein Am?							für die Bereiche Gesamtfahrzeug, Motor- und Antriebe, Hybridfahrzeuge, Assistent, Komfort und Sicherheit, Cockpitsysteme, Nutzfahrzeuge und Elektromobiliät
cognos				IBM Cognos TM1 --> olap							NA
computeranlage											Aufbau von Fotovoltaikanlagen, Satellitenanlagen und Computeranlagen
concerto				Messystem -Famos							Kenntnisse in concerto, Puma 5.x, Puma Open, Diagra sind notwendig
controldesk											Toolkenntnisse in Verbindung mit dSpace Hardware In The Loop-Anwendungen (ControlDesk, Python und AutomationDesk)
corba				eine Spezifikation für eine objektorientierte Middleware							NA
cpd				Workbench cpd CATIA V5 (composite part design)							* Wünschenswert sind Kenntnisse in Catia V5, CPD, Primes A350, Fibersim, Enovia VPM, MS Office
crystel					crystal?						Kenntnisse in VBA, Crystel Report, Cognos Impromptu, sowie der Visual ¿ Basic ¿ Programmierung vorweisen
cs4				könnte Photoshop oder Dreamweaver sein		Adobe Cs4 Desig					Sicherer Umgang mit MS Office Anwendungen und Kenntnisse in Grafikprogrammen Adobe Indesign CS4 und Adobe Dreamweaver CS4
dämpfer				beim Auto etc kein AM / Dämpfer Küche = Am							Berufserfahrung und Kenntnisse im Bereich Dämpfer wünschenswert
ddc				SPS Digital Direct Controll Technik -> Steuerung							Kenntnisse in der DDC / SPS - Programmierung vorteilhaft
dmp				disease management program		kein Am					Kenntnisse in EasyWin, GMZ, DMP
dmu				verschiedene Bedeutuingen	digitaler Mockup DMO GO MONO BLOCK						NA
ds				APO PP/DS SAP							CAD Systemen (DS Solid Works)
dsps				digitaler Signalprozessor							NA
dz				/							Kenntnisse im DZ Kommunalmaster® Personal
e²				wie APM Ingenieure							Idealerweise Kenntnisse in Teamcenter und E²    Kenntnisse in GPDS, APM und E² sind von Vorteil
e3				Electro CAD E3							der wesentlichen Fahrzeugbaugruppen und deren Steuerungs/- Regelungsanforderungen bzw. Verknüpfungen (Dieselmotor, hydrostatischer Fahrantrieb, Arbeitshydraulik etc.) Kenntnisse über CAN-BUS- und Diagnosesysteme wären wünschenswert, SAP, ME10 und e3 setzen wir voraus.
e3d				Tool wie CATIVA V5							NA
easywin				Praxisorga Branchen SW							Kenntnisse in EasyWin, GMZ, DMP
ebm				einheitlicher Bewertungsmaßstab?		Abrechnungsordnung wie GOÄ (8C)?					Vorausgesetzt werden neben guten EDV-Kenntnissen, sehr gute Abrechnungskenntnisse nach BEMA und GOZ/GOÄ sowie gute Kenntnisse im Bereich der Implantologie, Kenntnisse im Bereich der EBM (ärztliche Abrechnung) wären vorteilhaft, weiterhin werden Organisations- und Kommunikationsfähigkeit, Belastbarkeit und Flexibilität erwartet.  Es handelt sich um eine konservative Facharztpraxis, mit papierloser Praxis, medizinischer Praxis-EDV (Turbomed), eingebundenem Schreibprogramm MS Word, Röntgentätigkeit, Knochendichtemessung (DXA), Sonographie, Verbänden und Gipsanlage etc. Dazu sind Kenntnisse in EBM, GOÄ und UV-GOÄ wünschenswert, sowie ein "Röntgenschein".
ecu				Software , electro controll units AM?							Der Anwender modelliert hierbei die elektrischen Eigenschaften und Signale des zu testenden Steuergerätes (ECU), dessen Verknüpfung mit den Ein-/Ausgabe-Kanälen (I/O) eines HIL-Simulators sowie die Feldbus-Kommunikation des zu testenden Steuergeräts mit seiner Umgebung, die durch den Simulator nachgebildet wird.
embedded-systemen				Steuerungssoftware, automatisierte Systeme AM?							Kenntnisse in ¿Controller, Embedded-Systemen, Treiberentwicklung
emc-gerät				Firma wie IBM -> Server? Kassen							Tagesabschluss vom Micros Kassensystem, Opera und EMC-Gerät
emr-einrichtung				Elektrotechnik, Messtechnik, Regeltechnik??							NA
emv				Norm, Messungen							Kenntnisse in EMV, nach VDI Richtlinien    Kenntnisse in LabView und EMV gerechter Hardwareentwicklung
e-plan				e.Plan ist ein Unternehmen mit verschiedenen Produkten	Elektroschaltpläne erstellen SW						NA
esx				VM Ware							NA
esxi				VM Ware	esxi5 Visualisierungsplattform						Virtualisierung (Virtuozzo, ESXi oder HyperV)  3-4 Jahre Erfahrung im Management von Microsoft Windows basiertem IT-Umfeld (Server/Client) sowie VMware (ESX, ESXi) werden benötigt
excimerlasersystem				Keine Kategorie							Entwicklung und Produktionseinführung optischer Schichten für Excimerlasersysteme, Waferinspektionssysteme und Systeme zur lasergestützten Materialbearbeitung
fgpa				digitale regelungstechnik , Microcontroller							NA
fide				? --> fidelio? Kassensystem, Hotelsoftware							*fundierte Kenntnisse in 3D-Systemen möglichst in Catia V5, Fides und Robcat
fidia				Steuerung wie haidenhain							Kenntnisse im Umgang mit gängigen CNC-Steuerungen (Heidenhain, Fidia) setzen wir voraus    Kenntnisse im Umgang mit gängigen CNC-Steuerungen (Heidenhain, Fidia) setzen wir voraus
flexray				serielles, deterministisches und fehlertolerantes Feldbussystem für den Einsatz im Automobil	AM?						Implementierung von Bus-Simulationen für LIN, CAN und FlexRay
flexray-technologie				serielles, deterministisches und fehlertolerantes Feldbussystem für den Einsatz im Automobil	AM?						NA
formspule				Kein Am?							Herstellung von Spulen (Formspulen, eher selten: Träufelwicklung) nach konstruktiven und fertigungstechnischen Merkmalen
frigos				Kühlkoffer für LKW							Unser Fuhrpark besteht aus 12 to-LKW, Sattelzügen, Wechselbrückenzügen und Frigos.
fsm				Funktional Sourcing Manager? kein Am?							Erfahrungen im Bereich FSM
funksteuerung				4B? AM?							NA
fw-aggregat				Feuerwehr Agregat							NA
gabmio				Gambio? gambio Shopsystem							Fundierte Kenntnisse in folgenden Bereichen sollten unbedingt vorhanden sein: html, Webdesign, Shopsysteme xt:Commerce, Magento und Gabmio, PHP, Bildbearbeitungssoftware.
ges				/							Vorzugsweise Kenntnisse in GES
glasgerät				Laborgeräte aus Glas, Maßanalytisch, Reagenzglas etc 1A?							NA
gltool				Programmierung							NA
gmc				GMC Inspire Designs (Direktmarketing) oder customer AM?							Kenntnisse in PReS, GMC, ABIS und InfopostManager wären wünschenswert
gmz				communications management software							Kenntnisse in EasyWin, GMZ, DMP
gpds				fahrzeugbereich wie APM E² Vis Mock up							Kenntnisse und Erfahrungen in TcAE, GRDV, GPDS, APM, Mock up und E² von Vorteil    Kenntnisse in GPDS, APM und E² sind von Vorteil
gpo				Gruppenrichtlinienobjekt		Active Directory					ein umfassendes Fachwissen in den Bereichen ActiveDirectory, MS-Exchange, Windows Power Shell, GPO und MS-SQL-Server und konnten bereits ein Projekt in mindestens einem der genannten Bereiche erfolgreich umsetzen.
grail				Programmierung GroovyGrails							Adobe Flex, Groovy & Grails, iPhone & Android Development
grams				Gress/Grams Qualitäts- und Dokumentationssicherungsprozesse							Erfahrung mit GRESS, GRAMS, DOORS und SAP
grdv				fahrzeugbereich wie APM E² Vis Mock up							Kenntnisse und Erfahrungen in TcAE, GRDV, GPDS, APM, Mock up und E² von Vorteil
gsd				Galaktischer Sicherheitsdienst, eine Behörde in der Science-Fiction-Fernsehserie Raumpatrouille	CATIVA V5 -> Generative Shape Design						fortgeschrittene Kenntnisse im Umgang mit Catia V5 (GSD, Part Design,
guss-werkzeug				AM? MASCHINE							NA
haarpflegeartikel				AM?							NA
haarpflegemittel				AM? wie Make up 1A							NA
											NA
hcm				SAP Modul							idealerweise Kenntnisse in SAP sowie HCM  sehr gute SAP HCM- und MS-Office Kenntnisse
hf-applikation				AM? Hochfrequenz Applikationen							Wünschenswert sind spezielle Erfahrungen im Bereich HF-Applikationen
hil				Heeresinstandssetzungslogistik	Prüfstand ( Hardware in the Loop)						Funktionsabsicherung am HiL, LabCar oder Fahrzeug
hmi				human-machine-interface?	kein AM						* Gute Kenntnisse im Bereich SPS und HMI sowie der industriellen Netzwerkkommunikation
hmi/plc				human-machine-interface?	plc-Steuerung						Umfangreiche Praxiserfahrungen in den Bereichen Feldbustechnik, HMI/PLC, RFID und Sensortechnik
ias				Norm,Gesetz wie IFRS, HGB							Visualisieren von Anlagen mit WinCC, InTouch und IAS 3.0
ict-prüfanlage				AM?							* Konfiguration, Bedienen und Betreuung von AOI- und ICT-Prüfanlagen, SMD-Automaten und SPS- Prüfstationen
ims				/							Umsetzung des Integrierten Management Systems (IMS) der ALPINE im Projekt
internettool				? AM?							// Eine erfolgreich abgeschlossene kaufmännische Berufsausbildung / Berufserfahrung in der Kundenbetreuung / gute Englischkenntnisse / sehr gute Deutschkenntnisse / sehr gute Kenntnisse mit Internettools und MS Office / Erfahrung mit CRM-Systemen
